Team,Seed,Region,R64,R32,S16,E8,F4,Champ,Champ_Prob,EV_Pct,Bonus_EV,Total_EV_Pct,EV_Dollars,Est_Price,Value_Ratio,Surplus
Lehigh,16,South,0.5,0.010046251874062967,0.005697501249375312,0.002648750624687656,0.001274375312343828,0.001,0.0004997501249375312,0.003041479791354323,0.002313312200149925,0.005354791991504248,34.806147944777614,17.403073972388807,2.0,17.403073972388807
Howard,16,Midwest,0.5,0.010046251874062967,0.005697501249375312,0.002648750624687656,0.001274375312343828,0.001,0.0004997501249375312,0.003041479791354323,0.002313312200149925,0.005354791991504248,34.806147944777614,17.403073972388807,2.0,17.403073972388807
Furman,15,East,0.036,0.02399437781109445,0.010996251874062968,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.001244658764367816,0.0023894620502248874,0.0036341208145927034,23.62178529485257,11.810892647426286,2.0,11.810892647426286
Hawaii,13,West,0.084,0.06507111925383079,0.020493337774816787,0.004831112591605596,0.0019155562958027984,0.001,0.0006662225183211193,0.0022240781145902735,0.0013862367171885409,0.003610314831778814,23.467046406562293,11.733523203281147,2.0,11.733523203281147
Troy,13,South,0.073,0.06507111925383079,0.020493337774816787,0.004831112591605596,0.0019155562958027984,0.001,0.0006662225183211193,0.002169078114590273,0.0013862367171885409,0.0035553148317788138,23.109546406562288,11.554773203281144,2.0,11.554773203281144
Queens,15,West,0.022,0.022,0.010996251874062968,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.0011497290417291355,0.0023819831334332834,0.0035317121751624186,22.95612913855572,11.47806456927786,2.0,11.47806456927786
Hofstra,13,Midwest,0.099,0.06049312843578211,0.01799625187406297,0.003998750624687656,0.0014993753123438282,0.001,0.0004997501249375312,0.002109715767116442,0.001357832365067466,0.003467548132183908,22.5390628591954,11.2695314295977,2.0,11.2695314295977
Idaho,15,South,0.018,0.018,0.010996251874062968,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.0010797290417291353,0.002366983133433283,0.0034467121751624186,22.403629138555722,11.201814569277861,2.0,11.201814569277861
Tennessee State,15,Midwest,0.016,0.016,0.010996251874062968,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.0010447290417291354,0.0023594831334332834,0.0034042121751624186,22.12737913855572,11.06368956927786,2.0,11.06368956927786
Wright State,14,Midwest,0.07,0.055986881559220394,0.01759400299850075,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.002012497594952524,0.0013391238193403297,0.003351621414292854,21.78553919290355,10.892769596451775,2.0,10.892769596451775
Cal Baptist,13,East,0.074,0.06049312843578211,0.01799625187406297,0.003998750624687656,0.0014993753123438282,0.001,0.0004997501249375312,0.001984715767116442,0.001357832365067466,0.0033425481321839082,21.726562859195404,10.863281429597702,2.0,10.863281429597702
Penn,14,South,0.027,0.027,0.027,0.01099000999000999,0.003871253746253746,0.001,0.000999000999000999,0.0020340537587412587,0.00127275,0.0033068037587412587,21.494224431818182,10.747112215909091,2.0,10.747112215909091
North Dakota State,14,East,0.058,0.055986881559220394,0.01759400299850075,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.0019524975949525237,0.0013391238193403297,0.0032916214142928533,21.395539192903545,10.697769596451773,2.0,10.697769596451773
Kennesaw State,14,West,0.044,0.044,0.01759400299850075,0.005997501249375313,0.0019990629685157422,0.001,0.0004997501249375312,0.001732661575462269,0.0012941730134932532,0.0030268345889555223,19.674424828210896,9.837212414105448,2.0,9.837212414105448
Siena,16,East,0.01,0.01,0.005697501249375312,0.002648750624687656,0.001274375312343828,0.001,0.0004997501249375312,0.0005909016429285357,0.002313138755622189,0.0029040403985507246,18.87626259057971,9.438131295289855,2.0,9.438131295289855
LIU,16,West,0.01,0.01,0.005697501249375312,0.002648750624687656,0.001274375312343828,0.001,0.0004997501249375312,0.0005909016429285357,0.002313138755622189,0.0029040403985507246,18.87626259057971,9.438131295289855,2.0,9.438131295289855
